order,year,date,month,day,julian,site,media,units,dinotefuran,nitenpyram,thiamethoxam,clothianidin,imidacloprid,acetamiprid,thiacloprid
26,2015,05/05/2015,5,5,125,MC,field_pollen,ng/g,,0.4,3.029,9.855,1.793,0.747,0.494
27,2015,05/05/2015,5,5,125,MM,field_pollen,ng/g,,0.4,1.872,23.514,4.326,2.60E-01,0.137
28,2015,05/05/2015,5,5,125,SC,field_pollen,ng/g,,0.4,5.226,10.326,2.124,,0.694
29,2015,05/05/2015,5,5,125,TV,field_pollen,ng/g,,1.057,16.692,37.944,0.879,0.186,0.137
30,2015,05/05/2015,5,5,125,WB,field_pollen,ng/g,,0.4,10.101,19.605,4.237,0.727,1.226
31,2015,05/08/2015,5,8,128,BG,field_pollen,ng/g,,0.4,8.169,13.628,1.733,0.116,0.294
32,2015,05/08/2015,5,8,128,DS,field_pollen,ng/g,,0.4,0.385,10.026,2.873,0.537,0.662
33,2015,05/08/2015,5,8,128,FSR,field_pollen,ng/g,,0.4,1.387,2.223,1.49,,0.392
34,2015,05/08/2015,5,8,128,HR,field_pollen,ng/g,,0.4,15.391,34.812,2.543,2.23E-01,
35,2015,05/08/2015,5,8,128,IB,field_pollen,ng/g,,0.787,6.737,7.984,3.378,0.753,0.742
36,2015,05/08/2015,5,8,128,MC,field_pollen,ng/g,,0.4,5.253,3.875,1.601,0.301,0.506
37,2015,05/08/2015,5,8,128,MM,field_pollen,ng/g,,0.4,3.226,9.407,5.729,0.164,0.469
38,2015,05/08/2015,5,8,128,SC,field_pollen,ng/g,,0.4,2.191,4.089,2.107,,0.613
39,2015,05/08/2015,5,8,128,TV,field_pollen,ng/g,0.062,0.4,2.744,7.554,1.094,0.12,0.219
40,2015,05/08/2015,5,8,128,WB,field_pollen,ng/g,,0.4,20.462,5.411,1.393,0.281,3.88E-01
41,2015,05/11/2015,5,11,131,BG,field_pollen,ng/g,,0.4,11.7,14.2,4.214,0.382,1.357
42,2015,05/11/2015,5,11,131,DS,field_pollen,ng/g,,0.4,,1.81,1.456,0.204,2.80E-01
43,2015,05/11/2015,5,11,131,FSR,field_pollen,ng/g,,0.4,12.858,17.014,27.844,,0.522
44,2015,05/11/2015,5,11,131,HR,field_pollen,ng/g,,0.4,2.387,8.788,1.741,,0.131
45,2015,05/11/2015,5,11,131,IB,field_pollen,ng/g,,0.4,2.463,9.038,1.618,,0.251
46,2015,05/11/2015,5,11,131,MC,field_pollen,ng/g,,0.4,1.673,1.772,1.889,0.239,0.411
47,2015,05/11/2015,5,11,131,MM,field_pollen,ng/g,,0.4,1.44,3.349,1.212,1.64E-01,2.46E-01
48,2015,05/11/2015,5,11,131,SC,field_pollen,ng/g,,0.4,5.983,5.194,4.193,,
49,2015,05/11/2015,5,11,131,TV,field_pollen,ng/g,,0.4,1.644,19.518,3.58,,
50,2015,05/11/2015,5,11,131,WB,field_pollen,ng/g,,0.4,5.287,9.744,3.478,0.216,0.614
51,2015,05/14/2015,5,14,134,BG,field_pollen,ng/g,,0.093,,,2.016,,0.042
52,2015,05/14/2015,5,14,134,DS,field_pollen,ng/g,,0.291,,,0.895,2.24E-01,1.97E-01
53,2015,05/14/2015,5,14,134,FSR,field_pollen,ng/g,0.062,,3.125,,1.238,,2.16E-01
54,2015,05/14/2015,5,14,134,HR,field_pollen,ng/g,,0.424,1.185,1.775,1.079,,0.229
55,2015,05/14/2015,5,14,134,IB,field_pollen,ng/g,,0.45,14.373,1.371,0.505,0.069,0.248
56,2015,05/14/2015,5,14,134,MC,field_pollen,ng/g,,,3.221,5.3,3.03,,0.28
57,2015,05/14/2015,5,14,134,MM,field_pollen,ng/g,,,2.81,2.395,6.713,,1.751
58,2015,05/14/2015,5,14,134,SC,field_pollen,ng/g,,,,,1.243,,0.168
59,2015,05/14/2015,5,14,134,TV,field_pollen,ng/g,,,0.615,,0.761,,0.317
60,2015,05/14/2015,5,14,134,WB,field_pollen,ng/g,,0.757,2.546,1.809,2.051,2.30E-01,0.249
61,2015,05/19/2015,5,19,139,BG,field_pollen,ng/g,0.642,,4.153,2.285,3.067,0.926,0.304
62,2015,05/19/2015,5,19,139,DS,field_pollen,ng/g,0.081,,0.611,,1.153,0.129,0.278
63,2015,05/19/2015,5,19,139,FSR,field_pollen,ng/g,0.092,0.652,1.072,1.297,1.67,0.763,0.477
64,2015,05/19/2015,5,19,139,HR,field_pollen,ng/g,,1.004,0.701,,4.039,,0.785
65,2015,05/19/2015,5,19,139,IB,field_pollen,ng/g,,0.254,1.822,,1.42,,0.385
66,2015,05/19/2015,5,19,139,MC,field_pollen,ng/g,,,0.368,,0.562,0.277,0.145
67,2015,05/19/2015,5,19,139,MM,field_pollen,ng/g,,,,1.701,3.095,,0.359
68,2015,05/19/2015,5,19,139,SC,field_pollen,ng/g,0.116,0.645,1.661,,3.52,,0.467
69,2015,05/19/2015,5,19,139,TV,field_pollen,ng/g,,0.22,1.517,,1.22,,0.364
70,2015,05/19/2015,5,19,139,WB,field_pollen,ng/g,,,3.384,0.938,2.161,0.083,0.442
71,2015,05/23/2015,5,23,143,BG,field_pollen,ng/g,,0.811,0.659,,3.891,0.548,0.804
72,2015,05/23/2015,5,23,143,DS,field_pollen,ng/g,,0.171,0.598,,0.527,0.477,0.398
73,2015,05/23/2015,5,23,143,FSR,field_pollen,ng/g,,0.165,0.87,,2.638,0.41,0.567
74,2015,05/23/2015,5,23,143,HR,field_pollen,ng/g,0.609,1.003,2.416,,10.628,2.823,3.19
75,2015,05/23/2015,5,23,143,IB,field_pollen,ng/g,0.08,,0.455,,0.834,0.114,0.072
76,2015,05/23/2015,5,23,143,MC,field_pollen,ng/g,0.33,,,7.236,2.705,0.493,0.897
77,2015,05/23/2015,5,23,143,MM,field_pollen,ng/g,,0.559,,2.157,4.399,1.04,1.889
78,2015,05/23/2015,5,23,143,SC,field_pollen,ng/g,7.888,0.784,13.305,4.115,25.38,6.141,6.393
79,2015,05/23/2015,5,23,143,TV,field_pollen,ng/g,,1.418,3.801,1.221,4.223,0.594,0.814
80,2015,05/23/2015,5,23,143,WB,field_pollen,ng/g,,4.238,3.484,2.677,2.106,,0.433
81,2015,05/27/2015,5,27,147,BG,field_pollen,ng/g,0.35,0.691,2.699,,1.519,0.434,0.204
82,2015,05/27/2015,5,27,147,DS,field_pollen,ng/g,0.891,0.08,,1.704,5.023,1.614,1.913
83,2015,05/27/2015,5,27,147,FSR,field_pollen,ng/g,,1.311,,,10.658,,2.107
84,2015,05/27/2015,5,27,147,HR,field_pollen,ng/g,,0.311,,7.52,4.81,,1.489
85,2015,05/27/2015,5,27,147,IB,field_pollen,ng/g,,0.745,0.92,,4,,1.332
86,2015,05/27/2015,5,27,147,MC,field_pollen,ng/g,,0.424,1.324,7.6,5.375,,0.891
87,2015,05/27/2015,5,27,147,MM,field_pollen,ng/g,,,,,3.865,0.11,1.189
88,2015,05/27/2015,5,27,147,SC,field_pollen,ng/g,1.13,,,,6.915,,1.674
89,2015,05/27/2015,5,27,147,TV,field_pollen,ng/g,0.277,0.351,0.879,,3.642,0.781,0.793
90,2015,05/27/2015,5,27,147,WB,field_pollen,ng/g,,,1.175,,2.039,0.43,0.503
91,2015,05/07/2015,5,7,127,WV,field_pollen,ng/g,,0.108,,4.734,1.121,0.098,0.147
92,2015,05/10/2015,5,10,130,WV,field_pollen,ng/g,0.042,0.473,2.253,1.3,3.147,0.422,0.553
93,2015,05/16/2015,5,16,136,WV,field_pollen,ng/g,,0.32,1.535,,1.573,0.136,0.437
94,2015,05/24/2015,5,24,144,WV,field_pollen,ng/g,1.417,,,,24.804,,5.373
